fecha,dato
2000-01-01,18.76
2000-02-01,19.26
2000-03-01,17.75
2000-04-01,14.64
2000-05-01,14.945
2000-06-01,16.73
2000-07-01,17.76
2000-08-01,14.55
2000-09-01,16.22
2000-10-01,16.96
2000-11-01,18.115
2000-12-01,18.8
2001-01-01,18.775
2001-02-01,18.15
2001-03-01,17.42
2001-04-01,16.75
2001-05-01,15.58
2001-06-01,12.3875
2001-07-01,11.0
2001-08-01,10.145
2001-09-01,10.425
2001-10-01,11.5
2001-11-01,9.225
2001-12-01,8.9
2002-01-01,8.0
2002-02-01,9.2
2002-03-01,8.45
2002-04-01,8.05
2002-05-01,6.775
2002-06-01,8.05
2002-07-01,9.75
2002-08-01,7.85
2002-09-01,7.55
2002-10-01,9.2
2002-11-01,8.495
2002-12-01,7.85
2003-01-01,8.75
2003-02-01,9.7
2003-03-01,10.12
2003-04-01,9.49
2003-05-01,6.7
2003-06-01,5.37
2003-07-01,5.35
2003-08-01,4.9
2003-09-01,5.25
2003-10-01,5.03
2003-11-01,5.1487
2003-12-01,6.54
2004-01-01,6.25
2004-02-01,5.15
2004-03-01,6.65
2004-04-01,6.245
2004-05-01,6.45
2004-06-01,6.895
2004-07-01,7.2418
2004-08-01,7.37
2004-09-01,7.6
2004-10-01,8.0435
2004-11-01,8.25
2004-12-01,8.8341
2005-01-01,8.96
2005-02-01,9.28
2005-03-01,9.695
2005-04-01,9.95
2005-05-01,10.115
2005-06-01,10.035
2005-07-01,9.98
2005-08-01,10.02
2005-09-01,9.785
2005-10-01,9.48
2005-11-01,9.285
2005-12-01,9.0
2006-01-01,8.57
2006-02-01,8.11
2006-03-01,7.78
2006-04-01,7.58
2006-05-01,7.31
2006-06-01,7.34
2006-07-01,7.325
2006-08-01,7.325
2006-09-01,7.2887
2006-10-01,7.3212
2006-11-01,7.3012
2006-12-01,7.3187
2007-01-01,7.37
2007-02-01,7.455
2007-03-01,7.46
2007-04-01,7.455
2007-05-01,7.7
2007-06-01,7.7012
2007-07-01,7.705
2007-08-01,7.71
2007-09-01,7.71
2007-10-01,7.6975
2007-11-01,7.94
2007-12-01,7.945
2008-01-01,7.93
2008-02-01,7.9163
2008-03-01,7.925
2008-04-01,7.9425
2008-05-01,7.93
2008-06-01,7.918
2008-07-01,8.175
2008-08-01,8.44
2008-09-01,8.66
2008-10-01,8.67
2008-11-01,8.73
2008-12-01,8.72
2009-01-01,8.7018
2009-02-01,8.1
2009-03-01,7.925
